,AttackID,Date,Location,Narration,Status,lat,lon
190,165-20,2020-11-26 03:05:00+06:00,"Pussur River, Mongla, Bangladesh.","Three robbers armed with a crowbar boarded an anchored tanker. Duty watchman noticed the robbers and informed the bridge. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped without stealing anything. Incident reported to Port Control.",Boarded,22.366667,89.62694499999999
191,164-20,2020-11-08 21:26:00+08:00,Singapore Straits.,"Three robbers armed with knives boarded a tanker underway. Duty engineer on routine rounds noticed the robbers and immediately informed the bridge. Alarm raised, crew mustered and a search was carried out. Seeing the alerted crew, the robbers escaped with stolen ship",Boarded,1.2825,104.22721999999999
192,163-20,2020-11-19 20:30:00+07:00,"Cam Pha Anchorage, Vietnam.","Unnoticed, robbers boarded an anchored bulk carrier, stole ship",Boarded,20.938612,107.30167
193,162-20,2020-11-17 21:50:00+07:00,Singapore Straits.,"A Bulk Carrier underway was contacted by VTIS indicating that the ship may have been boarded by robbers. Alarm raised, crew mustered, and ship lights switched on. Three robbers were seen on the poop deck. Seeing the alerted crew, the robbers escaped in a small boat without stealing anything. A search was carried out and VTIS notified.",Boarded,1.25,104.066666
195,160-20,2020-11-19 04:19:00+08:00,Singapore Straits.,"Second engineer on board a tanker underway spotted two unauthorised persons armed with knives. Alarm raised, crew mustered, and a search was carried out. Hearing the alarm and seeing the crew alertness, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",Boarded,1.2827778,104.24916999999999
204,151-20,2020-10-26 00:35:00+07:00,Singapore Straits.,"After the pilot disembarked, the Master onboard a bulk carrier underway was contacted by VTIS indicating that the ship may have been boarded by robbers. Master immediately raised the alarm and made announcement on the PA system. As the crew searched the accommodation and engine room, the 4th Engineer encountered three robbers armed with long knives. One of the robbers chased the 4th Engineer. Fortunately, the 4th Engineer managed to escape. Master was advised to drop anchor near Pulau Batam and two Indonesian Navy warships arrived. Indonesian Navy personnel then boarded the ship to investigate. Upon investigation, no robbers were found and the ship resumed her voyage.",Boarded,1.2711111000000002,104.15139
205,150-20,2020-10-28 04:05:00+07:00,"Dumai Anchorage, Indonesia.",Duty AB on routine rounds onboard an anchored chemical tanker noticed wet footsteps on the poop deck and saw an unauthorised person escaping. Duty Officer notified. The duty AB reported that the person had gained access to the tanker via a bamboo pole and that there were an additional three persons waiting in a boat. the Incident was reported to local agent.,Boarded,1.7013888,101.467224
206,149-20,2020-10-26 00:00:00+07:00,Singapore Straits.,"While underway, a speed boat approached a bulk carrier and came alongside at the starboard quarter. Alarm raised, deck lights switched on, crew mustered and ship",Attempted,1.2355555,104.11806
207,148-20,2020-10-25 22:15:00+07:00,Singapore Straits.,"Duty crew onboard a bulk carrier underway spotted five robbers armed with knives in the engine store room and immediately informed the OOW. Alarm raised and PA announcement made. Seeing the alerted crew, the robbers escaped. Some engine spares were reported stolen. Incident reported to the Singapore VTS. Vessel and crew safe.",Boarded,1.25,104.08555600000001
215,140-20,2020-10-13 23:30:00+08:00,Singapore Straits.,"Three robbers armed with a steel bar boarded a tanker underway. Duty crew on routine rounds noticed the robbers and immediately informed the OOW. Alarm raised and all crew mustered. Seeing the alerted crew, the robbers escaped. Vessel and crew safe.",Boarded,1.2819444,104.25166
